Date Published,NPS ,,,,,
20/03/2017,10,,,,,
11/03/2017,10,,,,,
10/03/2017,3,,,,,
6/03/2017,1,,,,,
5/03/2017,5,,,,,
5/03/2017,6,,,,,
2/03/2017,10,,,,,
1/03/2017,10,,,,,
28/02/2017,6,,,,,
28/02/2017,7,,,,,
25/02/2017,9,,,,,
24/02/2017,10,,,,,
24/02/2017,8,,,,,
22/02/2017,9,,,,,
20/02/2017,2,,,,,
20/02/2017,3,,,,,
19/02/2017,3,,,,,
19/02/2017,6,,,,,
17/02/2017,1,,,,,
14/02/2017,8,,,,,
12/02/2017,2,,,,,
11/02/2017,1,,,,,
6/02/2017,8,,,,,
1/02/2017,3,,,,,
29/01/2017,5,,,,,
29/01/2017,7,,,,,
28/01/2017,4,,,,,
24/01/2017,6,,,,,
23/01/2017,10,,,,,
22/01/2017,8,,,,,
21/01/2017,1,,,,,
20/01/2017,9,,,,,
20/01/2017,10,,,,,
17/01/2017,10,,,,,
15/01/2017,6,,,,,
14/01/2017,9,,,,,
13/01/2017,1,,,,,
10/01/2017,9,,,,,
10/01/2017,10,,,,,
8/01/2017,8,,,,,
7/01/2017,8,,,,,
6/01/2017,9,,,,,
6/01/2017,7,,,,,
6/01/2017,8,,,,,
5/01/2017,10,,,,,
5/01/2017,3,,,,,
4/01/2017,8,,,,,
4/01/2017,8,,,,,
3/01/2017,10,,,,,
2/01/2017,4,,,,,
2/01/2017,1,,,,,
31/12/2016,1,,,,,
30/12/2016,1,,,,,
30/12/2016,6,,,,,
28/12/2016,8,,,,,
27/12/2016,10,,,,,
20/12/2016,10,,,,,
19/12/2016,1,,,,,
13/12/2016,6,,,,,
13/12/2016,5,,,,,
5/12/2016,7,,,,,
4/12/2016,9,,,,,
29/11/2016,10,,,,,
28/11/2016,10,,,,,
18/11/2016,7,,,,,
18/11/2016,8,,,,,
17/11/2016,9,,,,,
17/11/2016,9,,,,,
15/11/2016,8,,,,,
15/11/2016,4,,,,,
14/11/2016,9,,,,,
10/11/2016,6,,,,,
10/11/2016,9,,,,,
6/11/2016,10,,,,,
3/11/2016,10,,,,,
1/11/2016,10,,,,,
24/10/2016,1,,,,,
21/10/2016,5,,,,,
19/10/2016,7,,,,,
18/10/2016,7,,,,,
17/10/2016,9,,,,,
16/10/2016,10,,,,,
15/10/2016,9,,,,,
14/10/2016,1,,,,,
11/10/2016,7,,,,,
10/10/2016,7,,,,,
6/10/2016,9,,,,,
5/10/2016,6,,,,,
5/10/2016,9,,,,,
30/09/2016,10,,,,,
30/09/2016,9,,,,,
29/09/2016,8,,,,,
25/09/2016,8,,,,,
25/09/2016,8,,,,,
25/09/2016,10,,,,,
23/09/2016,10,,,,,
22/09/2016,1,,,,,
12/09/2016,7,,,,,
7/09/2016,10,,,,,
29/08/2016,9,,,,,
26/08/2016,6,,,,,
20/08/2016,4,,,,,
16/08/2016,9,,,,,
15/08/2016,3,,,,,
15/08/2016,7,,,,,
14/08/2016,10,,,,,
13/08/2016,8,,,,,
12/08/2016,7,,,,,
10/08/2016,6,,,,,
9/08/2016,9,,,,,
5/08/2016,9,,,,,
5/08/2016,8,,,,,
1/08/2016,6,,,,,
31/07/2016,4,,,,,
30/07/2016,9,,,,,
30/07/2016,4,,,,,
28/07/2016,8,,,,,
25/07/2016,5,,,,,
24/07/2016,10,,,,,
24/07/2016,10,,,,,
22/07/2016,4,,,,,
20/07/2016,9,,,,,
18/07/2016,3,,,,,
18/07/2016,3,,,,,
17/07/2016,6,,,,,
17/07/2016,7,,,,,
17/07/2016,6,,,,,
15/07/2016,9,,,,,
15/07/2016,2,,,,,
13/07/2016,8,,,,,
12/07/2016,6,,,,,
11/07/2016,9,,,,,
10/07/2016,7,,,,,
30/06/2016,4,,,,,
30/06/2016,5,,,,,
28/06/2016,9,,,,,
23/06/2016,5,,,,,
17/06/2016,5,,,,,
16/06/2016,9,,,,,
15/06/2016,10,,,,,
11/06/2016,10,,,,,
7/06/2016,10,,,,,
7/06/2016,8,,,,,
6/06/2016,8,,,,,
6/06/2016,5,,,,,
2/06/2016,1,,,,,
29/05/2016,7,,,,,
25/05/2016,9,,,,,
20/05/2016,8,,,,,
11/05/2016,8,,,,,
9/05/2016,6,,,,,
8/05/2016,9,,,,,
8/05/2016,7,,,,,
2/05/2016,5,,,,,
2/05/2016,8,,,,,
30/04/2016,10,,,,,
28/04/2016,10,,,,,
28/04/2016,10,,,,,
27/04/2016,5,,,,,
24/04/2016,10,,,,,
22/04/2016,10,,,,,
22/04/2016,7,,,,,
22/04/2016,8,,,,,
20/04/2016,9,,,,,
19/04/2016,7,,,,,
18/04/2016,9,,,,,
17/04/2016,9,,,,,
16/04/2016,2,,,,,
16/04/2016,9,,,,,
11/04/2016,10,,,,,
10/04/2016,10,,,,,
8/04/2016,10,,,,,
6/04/2016,8,,,,,
4/04/2016,4,,,,,
30/03/2016,1,,,,,
27/03/2016,9,,,,,
25/03/2016,10,,,,,
24/03/2016,8,,,,,
24/03/2016,9,,,,,
23/03/2016,9,,,,,
22/03/2016,6,,,,,
22/03/2016,7,,,,,
20/03/2016,10,,,,,
20/03/2016,8,,,,,
19/03/2016,4,,,,,
14/03/2016,10,,,,,
13/03/2016,7,,,,,
12/03/2016,9,,,,,
6/03/2016,9,,,,,
1/03/2016,9,,,,,
29/02/2016,4,,,,,
26/02/2016,8,,,,,
25/02/2016,6,,,,,
24/02/2016,9,,,,,
24/02/2016,8,,,,,
23/02/2016,9,,,,,
22/02/2016,8,,,,,
22/02/2016,9,,,,,
17/02/2016,1,,,,,
17/02/2016,8,,,,,
15/02/2016,10,,,,,
14/02/2016,7,,,,,
10/02/2016,8,,,,,
10/02/2016,10,,,,,
4/02/2016,9,,,,,
1/02/2016,7,,,,,
31/01/2016,10,,,,,
31/01/2016,10,,,,,
30/01/2016,9,,,,,
30/01/2016,9,,,,,
25/01/2016,7,,,,,
24/01/2016,10,,,,,
23/01/2016,3,,,,,
18/01/2016,10,,,,,
14/01/2016,9,,,,,
14/01/2016,10,,,,,
11/01/2016,9,,,,,
10/01/2016,8,,,,,
9/01/2016,6,,,,,
7/01/2016,8,,,,,
3/01/2016,5,,,,,
2/01/2016,9,,,,,
31/12/2015,9,,,,,
31/12/2015,10,,,,,
30/12/2015,10,,,,,
27/12/2015,10,,,,,
26/12/2015,8,,,,,
25/12/2015,9,,,,,
23/12/2015,10,,,,,
19/12/2015,10,,,,,
17/12/2015,2,,,,,
17/12/2015,10,,,,,
15/12/2015,9,,,,,
11/12/2015,10,,,,,
10/12/2015,9,,,,,
9/12/2015,9,,,,,
8/12/2015,9,,,,,
8/12/2015,5,,,,,
8/12/2015,10,,,,,
6/12/2015,8,,,,,
6/12/2015,10,,,,,
5/12/2015,5,,,,,
2/12/2015,10,,,,,
26/11/2015,10,,,,,
23/11/2015,5,,,,,
20/11/2015,5,,,,,
15/11/2015,1,,,,,
14/11/2015,9,,,,,
14/11/2015,9,,,,,
12/11/2015,9,,,,,
11/11/2015,9,,,,,
10/11/2015,4,,,,,
9/11/2015,10,,,,,
8/11/2015,10,,,,,
24/10/2015,3,,,,,
24/10/2015,8,,,,,
23/10/2015,10,,,,,
22/10/2015,9,,,,,
21/10/2015,9,,,,,
21/10/2015,6,,,,,
20/10/2015,6,,,,,
12/10/2015,10,,,,,
11/10/2015,9,,,,,
11/10/2015,9,,,,,
11/10/2015,8,,,,,
9/10/2015,7,,,,,
7/10/2015,9,,,,,
6/10/2015,6,,,,,
3/10/2015,3,,,,,
30/09/2015,9,,,,,
30/09/2015,9,,,,,
30/09/2015,4,,,,,
28/09/2015,9,,,,,
25/09/2015,1,,,,,
19/09/2015,10,,,,,
18/09/2015,8,,,,,
18/09/2015,8,,,,,
15/09/2015,7,,,,,
13/09/2015,7,,,,,
12/09/2015,9,,,,,
12/09/2015,9,,,,,
10/09/2015,9,,,,,
10/09/2015,10,,,,,
7/09/2015,7,,,,,
6/09/2015,10,,,,,
4/09/2015,10,,,,,
30/08/2015,9,,,,,
28/08/2015,9,,,,,
28/08/2015,7,,,,,
25/08/2015,9,,,,,
23/08/2015,5,,,,,
23/08/2015,5,,,,,
19/08/2015,9,,,,,
18/08/2015,10,,,,,
15/08/2015,6,,,,,
14/08/2015,10,,,,,
10/08/2015,9,,,,,
6/08/2015,10,,,,,
4/08/2015,1,,,,,
25/07/2015,10,,,,,
25/07/2015,9,,,,,
20/07/2015,8,,,,,
15/07/2015,9,,,,,
13/07/2015,10,,,,,
13/07/2015,10,,,,,
9/07/2015,10,,,,,
9/07/2015,6,,,,,
7/07/2015,2,,,,,
3/07/2015,10,,,,,
30/06/2015,9,,,,,
30/06/2015,10,,,,,
28/06/2015,9,,,,,
28/06/2015,9,,,,,
27/06/2015,1,,,,,
23/06/2015,8,,,,,
23/06/2015,10,,,,,
22/06/2015,5,,,,,
19/06/2015,10,,,,,
19/06/2015,9,,,,,
18/06/2015,7,,,,,
17/06/2015,10,,,,,
12/06/2015,10,,,,,
